City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Thompson,CA,82.56,smoke,55.7435,-97.8558,Burntwood Hotel
3,Hilo,US,85.28,light rain,19.7297,-155.09,Hilo Hawaiian Hotel
4,Bengkulu,ID,76.46,broken clouds,-3.8004,102.2655,Grage Hotel Bengkulu
9,Avarua,CK,73.45,scattered clouds,-21.2078,-159.775,Paradise Inn
10,Vaini,TO,71.76,scattered clouds,-21.2,-175.2,Keleti Beach Resort
11,Biak,ID,74.91,overcast clouds,-0.9131,122.8766,Penginapan Kim
14,Yellowknife,CA,73.92,broken clouds,62.456,-114.3525,The Explorer Hotel
16,Chattanooga,US,88.79,scattered clouds,35.0456,-85.3097,The Read House
17,Miri,MY,77.14,scattered clouds,4.4148,114.0089,"Mega Hotel, Miri"
19,Abeche,TD,78.3,overcast clouds,13.8292,20.8324,Assaleh Hamdan Haroune
20,Veraval,IN,80.31,overcast clouds,20.9,70.3667,Lords Inn Somnath
24,Georgetown,MY,79.9,few clouds,5.4112,100.3354,Cititel Penang
25,Atuona,PF,78.42,clear sky,-9.8,-139.0333,Villa Enata
28,Komsomolskiy,UZ,81.32,clear sky,40.4272,71.7189,Ikathouse
29,Torbay,CA,71.89,overcast clouds,47.6666,-52.7314,Gallows Cove
37,Bafra,TR,70.83,clear sky,41.5678,35.9069,Sevgi Otel
39,Rikitea,PF,74.16,clear sky,-23.1203,-134.9692,People ThankYou
42,Puerto Ayora,EC,78.76,broken clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
45,Isangel,VU,75.96,few clouds,-19.55,169.2667,Tanna Lodge
52,Nabire,ID,73.69,overcast clouds,-3.3667,135.4833,Hotel Nusantara I
53,Minna,NG,75.49,few clouds,9.6139,6.5569,Royal Park hotel & suites
54,Carutapera,BR,80.55,broken clouds,-1.195,-46.02,Lidera
58,Padang,ID,77.27,broken clouds,-0.9492,100.3543,Mercure Padang
59,Lamu,KE,71.82,overcast clouds,-2.2717,40.902,Lamu House
60,Ribeira Grande,PT,73.8,scattered clouds,38.5167,-28.7,Quinta da Meia Eira
61,Dwarka,IN,81.52,broken clouds,22.2394,68.9678,Hotel Narayan Avezika Comfort
62,Carlagan,PH,83.01,broken clouds,14.975,122.0456,Cabatagan Island
64,Caravelas,BR,72.9,clear sky,-17.7125,-39.2481,Pousada dos Navegantes
71,Tabuk,PH,74.61,few clouds,17.4189,121.4443,Golden Berries Hotel and Convention
74,Guerrero Negro,MX,84.67,overcast clouds,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
78,Arraial Do Cabo,BR,76.96,clear sky,-22.9661,-42.0278,Pousada Porto Praia
81,Beaufort,MY,74.89,broken clouds,5.3473,115.7455,The Gem Hotel Beaufort
