City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Thompson,CA,55.7435,-97.8558,82.56,39,0,11.5,smoke
1,Laurel,US,39.0993,-76.8483,92.44,55,40,6.91,scattered clouds
2,Mataura,NZ,-46.1927,168.8643,41.49,90,89,3.18,overcast clouds
3,Hilo,US,19.7297,-155.09,85.28,86,75,8.05,light rain
4,Bengkulu,ID,-3.8004,102.2655,76.46,92,59,4.68,broken clouds
5,Conway,US,35.0887,-92.4421,100.81,44,0,3.0,clear sky
6,Saint George,US,37.1041,-113.5841,104.79,20,0,5.01,clear sky
7,Guaruja,BR,-23.9931,-46.2564,69.66,88,100,3.44,light intensity drizzle
8,Nikolskoye,RU,59.7035,30.7861,62.49,95,51,5.14,broken clouds
9,Avarua,CK,-21.2078,-159.775,73.45,68,40,8.05,scattered clouds
10,Vaini,TO,-21.2,-175.2,71.76,100,40,9.22,scattered clouds
11,Biak,ID,-0.9131,122.8766,74.91,89,95,4.43,overcast clouds
12,Ushuaia,AR,-54.8,-68.3,40.66,65,20,2.3,few clouds
13,Port Alfred,ZA,-33.5906,26.891,60.19,91,96,3.0,overcast clouds
14,Yellowknife,CA,62.456,-114.3525,73.92,60,75,12.66,broken clouds
15,Bluff,NZ,-46.6,168.3333,41.81,73,89,13.67,overcast clouds
16,Chattanooga,US,35.0456,-85.3097,88.79,77,40,8.05,scattered clouds
17,Miri,MY,4.4148,114.0089,77.14,100,40,2.3,scattered clouds
18,Lebu,CL,-37.6167,-73.65,51.28,66,1,3.6,clear sky
19,Abeche,TD,13.8292,20.8324,78.3,66,100,8.99,overcast clouds
20,Veraval,IN,20.9,70.3667,80.31,86,100,16.28,overcast clouds
21,Hermanus,ZA,-34.4187,19.2345,53.74,73,32,4.59,scattered clouds
22,Narsaq,GL,60.9167,-46.05,55.62,87,100,5.14,light rain
23,Moose Factory,CA,51.2585,-80.6094,62.6,77,75,13.8,haze
24,Georgetown,MY,5.4112,100.3354,79.9,92,20,3.44,few clouds
25,Atuona,PF,-9.8,-139.0333,78.42,62,10,11.59,clear sky
26,Bilma,NE,18.6853,12.9164,95.7,14,5,7.07,clear sky
27,Cape Town,ZA,-33.9258,18.4232,54.91,78,20,6.91,few clouds
28,Komsomolskiy,UZ,40.4272,71.7189,81.32,29,0,9.22,clear sky
29,Torbay,CA,47.6666,-52.7314,71.89,82,100,14.97,overcast clouds
30,Pisco,PE,-13.7,-76.2167,64.45,77,42,10.36,haze
31,Busselton,AU,-33.65,115.3333,58.37,79,100,10.38,light rain
32,Kodiak,US,57.79,-152.4072,56.71,72,0,8.05,clear sky
33,Bredasdorp,ZA,-34.5322,20.0403,47.39,88,13,4.34,few clouds
34,Kaitangata,NZ,-46.2817,169.8464,43.86,78,96,6.82,overcast clouds
35,Santiago Del Estero,AR,-27.7951,-64.2615,68.0,35,0,6.98,clear sky
36,Tuktoyaktuk,CA,69.4541,-133.0374,50.0,93,100,12.66,overcast clouds
37,Bafra,TR,41.5678,35.9069,70.83,74,8,5.39,clear sky
38,Poum,NC,-20.2333,164.0167,75.52,85,3,9.17,light rain
39,Rikitea,PF,-23.1203,-134.9692,74.16,73,0,10.25,clear sky
40,Cabo San Lucas,MX,22.8909,-109.9124,94.6,70,89,3.0,overcast clouds
41,Loukhi,RU,66.0764,33.0381,54.03,96,100,11.77,light rain
42,Puerto Ayora,EC,-0.7393,-90.3518,78.76,95,54,5.99,broken clouds
43,Yinchuan,CN,38.4681,106.2731,67.71,57,0,6.4,clear sky
44,Hobart,AU,-42.8794,147.3294,39.06,88,5,10.36,clear sky
45,Isangel,VU,-19.55,169.2667,75.96,89,14,8.97,few clouds
46,Chokurdakh,RU,70.6333,147.9167,38.23,78,100,7.16,overcast clouds
47,Mar Del Plata,AR,-38.0023,-57.5575,55.94,58,0,18.01,clear sky
48,New Norfolk,AU,-42.7826,147.0587,38.71,85,4,2.82,clear sky
49,Yulara,AU,-25.2406,130.9889,49.01,52,0,10.07,clear sky
50,Albany,US,42.6001,-73.9662,90.03,48,99,1.01,overcast clouds
51,Caluquembe,AO,-13.7833,14.6833,58.69,40,1,4.38,clear sky
52,Nabire,ID,-3.3667,135.4833,73.69,95,100,2.82,overcast clouds
53,Minna,NG,9.6139,6.5569,75.49,70,14,4.5,few clouds
54,Carutapera,BR,-1.195,-46.02,80.55,79,77,7.05,broken clouds
55,Sitka,US,57.0531,-135.33,55.29,88,100,5.75,overcast clouds
56,Yevpatoriya,UA,45.1972,33.3558,67.69,59,0,7.7,clear sky
57,Dikson,RU,73.5069,80.5464,45.61,82,70,11.34,broken clouds
58,Padang,ID,-0.9492,100.3543,77.27,87,60,2.08,broken clouds
59,Lamu,KE,-2.2717,40.902,71.82,77,97,17.49,overcast clouds
60,Ribeira Grande,PT,38.5167,-28.7,73.8,94,40,6.91,scattered clouds
61,Dwarka,IN,22.2394,68.9678,81.52,84,81,17.78,broken clouds
62,Carlagan,PH,14.975,122.0456,83.01,79,59,10.11,broken clouds
63,Vondrozo,MG,-22.8167,47.2833,57.04,93,48,2.19,light rain
64,Caravelas,BR,-17.7125,-39.2481,72.9,74,3,5.95,clear sky
65,Qaanaaq,GL,77.484,-69.3632,43.79,66,7,3.22,clear sky
66,Portree,GB,57.4129,-6.1942,55.53,94,100,4.97,overcast clouds
67,Carnarvon,AU,-24.8667,113.6333,64.35,48,36,6.55,scattered clouds
68,Minab,IR,27.1467,57.0801,91.72,62,34,3.44,scattered clouds
69,Gari,RU,59.4307,62.3497,63.3,91,100,6.31,light rain
70,Norman Wells,CA,65.282,-126.8329,66.24,59,75,11.5,broken clouds
71,Tabuk,PH,17.4189,121.4443,74.61,89,16,2.46,few clouds
72,Iqaluit,CA,63.7506,-68.5145,38.93,100,100,6.91,light rain
73,Grindavik,IS,63.8424,-22.4338,55.87,82,0,12.66,clear sky
74,Guerrero Negro,MX,27.9769,-114.0611,84.67,40,87,9.55,overcast clouds
75,Punta Arenas,CL,-53.15,-70.9167,42.91,75,40,12.66,scattered clouds
76,Ostrovnoy,RU,68.0531,39.5131,50.27,89,100,10.63,overcast clouds
77,Broome,US,42.2506,-75.833,92.62,50,20,12.66,few clouds
78,Arraial Do Cabo,BR,-22.9661,-42.0278,76.96,73,0,10.36,clear sky
79,Airai,TL,-8.9266,125.4092,52.99,77,89,3.36,overcast clouds
80,Alihe,CN,50.5667,123.7167,60.98,96,0,1.99,clear sky
81,Beaufort,MY,5.3473,115.7455,74.89,89,66,2.64,broken clouds
82,Port Elizabeth,ZA,-33.918,25.5701,57.49,97,100,13.8,moderate rain
83,Butaritari,KI,3.0707,172.7902,81.72,78,98,15.73,light rain
84,Surt,LY,31.2089,16.5887,80.53,65,0,10.04,clear sky
85,Saint-Philippe,RE,-21.3585,55.7679,64.22,79,42,21.18,light rain
86,Tuatapere,NZ,-46.1333,167.6833,42.46,90,100,3.02,overcast clouds
87,Jamestown,US,42.097,-79.2353,86.95,54,0,14.97,clear sky
88,Bethel,US,41.3712,-73.414,91.36,51,0,11.5,clear sky
89,Ningyang,CN,35.7642,116.7914,76.71,70,100,7.16,light rain
90,Bolama,GW,11.5833,-15.4667,77.34,86,100,12.59,light rain
91,Norrtalje,SE,59.758,18.705,62.78,66,70,3.83,broken clouds
92,Rio Gallegos,AR,-51.6226,-69.2181,42.85,65,0,28.77,clear sky
93,Chuy,UY,-33.6971,-53.4616,51.15,75,1,5.14,clear sky
94,Camapua,BR,-19.5314,-54.0439,90.46,15,72,7.78,broken clouds
95,Vargashi,RU,55.3556,65.8467,64.78,97,100,7.47,moderate rain
96,Ushumun,RU,52.7833,126.5333,56.8,94,100,5.39,overcast clouds
97,Kapaa,US,22.0752,-159.319,82.38,74,75,18.41,broken clouds
98,Mahebourg,MU,-20.4081,57.7,70.25,68,40,21.85,scattered clouds
99,Khatanga,RU,71.9667,102.5,42.78,59,100,17.05,overcast clouds
100,San Andres,CO,12.5847,-81.7006,87.82,74,20,14.97,few clouds
101,Vardo,NO,70.3705,31.1107,53.58,100,75,3.44,broken clouds
102,Nanortalik,GL,60.1432,-45.2371,47.52,93,100,13.11,light rain
